实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
AB20-ar3,模拟退火算法,5513,"[array([1, 5, 6]), array([15, 20,  3]), array([14, 19, 12,  8]), array([ 2,  9,  7, 13]), array([18, 10,  4]), array([11, 17, 16])]",5263.513376418076,2025-03-28 11:11:22.424873,2025-03-28 11:11:24.050511,2025-03-28 11:11:28.417564,5.992691,1.625638,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 1, 17, 16]), array([3, 2, 6]), array([19, 11, 18]), array([10,  4,  8,  7, 15]), array([14,  5, 13,  9]), array([12, 20])]",4909.767051731799,2025-03-28 11:11:28.424156,2025-03-28 11:11:31.133401,2025-03-28 11:11:34.521130,6.096974,2.709245,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([18, 19,  1, 12]), array([14, 10, 15, 17]), array([ 6,  9,  8,  7, 13,  3]), array([ 5,  4,  2, 16]), array([11, 20])]",4685.297214269882,2025-03-28 11:11:34.525155,2025-03-28 11:11:38.806612,2025-03-28 11:11:40.614475,6.08932,4.281457,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 5, 18,  6]), array([20,  3,  7]), array([10, 14, 13]), array([15, 11,  8]), array([ 4,  2, 19,  1,  9]), array([12, 16, 17])]",5173.35677703236,2025-03-28 11:11:40.618403,2025-03-28 11:11:45.988493,2025-03-28 11:11:46.707445,6.089042,5.37009,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 9, 14, 10]), array([11, 12, 15,  3]), array([17, 18]), array([ 4, 19,  7, 13,  5]), array([2, 8, 1, 6]), array([16, 20])]",4921.1673594563335,2025-03-28 11:11:46.711563,2025-03-28 11:11:47.103107,2025-03-28 11:11:52.916436,6.204873,0.391544,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([20, 18,  4, 12]), array([13, 15,  2]), array([17,  7, 19]), array([10,  6,  5,  9]), array([1, 8, 3]), array([16, 14, 11])]",5461.846145081786,2025-03-28 11:11:52.920467,2025-03-28 11:11:57.491780,2025-03-28 11:11:59.114265,6.193798,4.571313,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([16,  2,  4]), array([11, 18, 19]), array([3, 1, 7]), array([14,  9,  8,  5]), array([17, 15, 12]), array([13, 10,  6, 20])]",4878.8226409075905,2025-03-28 11:11:59.118180,2025-03-28 11:12:02.925126,2025-03-28 11:12:05.332029,6.213849,3.806946,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([12, 20, 15]), array([11, 16, 17]), array([ 5, 10, 14]), array([ 1,  4, 19,  8]), array([ 7,  2, 13,  6]), array([18,  3,  9])]",5185.552246270942,2025-03-28 11:12:05.336411,2025-03-28 11:12:06.714840,2025-03-28 11:12:11.623544,6.287133,1.378429,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([18, 11,  1]), array([17, 16]), array([15, 12, 20,  5]), array([10, 13, 19]), array([ 9,  8, 14,  3]), array([6, 7, 2, 4])]",4442.136344254482,2025-03-28 11:12:11.627436,2025-03-28 11:12:16.368092,2025-03-28 11:12:17.853511,6.226075,4.740656,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 1,  5, 13, 18]), array([15,  6, 10]), array([17, 12, 14]), array([ 4,  8, 19,  2]), array([ 7, 20,  9,  3]), array([16, 11])]",4594.896700483092,2025-03-28 11:12:17.857514,2025-03-28 11:12:18.547138,2025-03-28 11:12:24.117282,6.259768,0.689624,包含修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([11, 16]), array([5, 6, 8, 3]), array([ 1, 19,  9, 10,  7]), array([14,  4,  2]), array([12, 20, 18]), array([13, 15, 17])]",5026.317700465086,2025-03-28 11:30:22.246551,2025-03-28 11:30:27.273776,2025-03-28 11:30:28.234675,5.988124,5.027225,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([15, 17,  2]), array([ 1, 10,  6]), array([14, 12,  4]), array([18, 11,  3, 19]), array([ 8,  9, 13,  5,  7]), array([20, 16])]",5013.133566044109,2025-03-28 11:30:28.240311,2025-03-28 11:30:29.047664,2025-03-28 11:30:34.303946,6.063635,0.807353,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([14, 20,  1]), array([12,  8,  6,  9]), array([10,  3,  7]), array([ 5, 15,  2]), array([13, 18, 19,  4]), array([11, 17, 16])]",4383.367670219228,2025-03-28 11:30:34.307873,2025-03-28 11:30:36.707524,2025-03-28 11:30:40.389389,6.081516,2.399651,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([20,  6,  2]), array([10,  9, 18]), array([19,  1,  8,  7,  4]), array([14, 13,  3]), array([12,  5, 16]), array([15, 11, 17])]",4825.632869557651,2025-03-28 11:30:40.393360,2025-03-28 11:30:43.247675,2025-03-28 11:30:46.482518,6.089158,2.854315,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([ 4,  3, 13]), array([ 2, 19,  5, 10]), array([ 7,  6,  9, 14]), array([ 1, 11, 18]), array([15,  8, 12]), array([20, 16, 17])]",4588.82472883287,2025-03-28 11:30:46.486474,2025-03-28 11:30:47.710405,2025-03-28 11:30:52.704931,6.218457,1.223931,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([18, 20, 17]), array([16, 15]), array([ 6,  7,  8,  1, 19]), array([10, 12, 13,  9]), array([5, 2, 4]), array([11,  3, 14])]",5007.46452614664,2025-03-28 11:30:52.708761,2025-03-28 11:30:54.818946,2025-03-28 11:30:58.881841,6.17308,2.110185,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([ 4, 14,  6]), array([12,  3, 10]), array([19, 13,  5]), array([ 8,  2,  9,  7, 20]), array([17, 18,  1]), array([15, 16, 11])]",4649.068011074648,2025-03-28 11:30:58.885783,2025-03-28 11:31:01.721794,2025-03-28 11:31:05.164954,6.279171,2.836011,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([18,  1,  7]), array([ 6,  3, 10,  4]), array([12, 13,  8,  2]), array([20, 19,  5]), array([17, 14, 16]), array([15,  9, 11])]",4811.7771920066125,2025-03-28 11:31:05.168831,2025-03-28 11:31:09.490342,2025-03-28 11:31:11.385827,6.216996,4.321511,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([12, 14, 13]), array([15, 19,  3, 18]), array([10,  9,  2,  5]), array([ 8, 20,  4,  6,  7]), array([11, 17]), array([ 1, 16])]",4761.358154084997,2025-03-28 11:31:11.389678,2025-03-28 11:31:17.527159,2025-03-28 11:31:17.749860,6.360182,6.137481,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([16, 17]), array([12, 11]), array([10,  3,  6, 14]), array([15,  8, 18]), array([ 7, 13, 20,  5]), array([ 9,  4,  2, 19,  1])]",5157.960440835588,2025-03-28 11:31:17.754489,2025-03-28 11:31:24.043884,2025-03-28 11:31:24.275316,6.520827,6.289395,包含修复动作算子-K分初始解
AB20-ar3,模拟退火算法,5513,"[array([12, 10, 11,  3]), array([ 5, 15, 16]), array([ 4, 13,  1]), array([ 2, 18,  6]), array([14,  8,  9, 20]), array([19, 17,  7])]",6138.634505224661,2025-03-28 11:32:10.878776,2025-03-28 11:32:12.393429,2025-03-28 11:32:17.550715,6.671939,1.514653,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([10, 12]), array([ 5, 14,  4]), array([16,  3, 19]), array([15,  7,  2,  1,  9]), array([ 6, 18, 17]), array([20, 11, 13]), array([8])]",51581.169685105444,2025-03-28 11:32:17.555592,2025-03-28 11:32:20.256850,2025-03-28 11:32:24.341471,6.785879,2.701258,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([12, 16]), array([ 6,  8, 11,  9]), array([13,  4, 10]), array([ 3,  2, 20]), array([19,  7]), array([18,  5, 14]), array([15, 17,  1])]",11813.12912491295,2025-03-28 11:32:24.346149,2025-03-28 11:32:29.504844,2025-03-28 11:32:31.143866,6.797717,5.158695,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 5,  1, 11]), array([18, 12, 10]), array([15,  8]), array([20, 16]), array([14, 13,  4]), array([ 7,  9,  2, 19]), array([17,  3,  6])]",11557.632026837005,2025-03-28 11:32:31.147900,2025-03-28 11:32:31.189846,2025-03-28 11:32:37.955579,6.807679,0.041946,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([20,  1, 17, 14]), array([ 4, 11,  2]), array([ 7, 10, 15,  8]), array([16, 18, 12]), array([13,  5,  3]), array([19,  6,  9])]",15224.842795922112,2025-03-28 11:32:37.959443,2025-03-28 11:32:42.949515,2025-03-28 11:32:44.761740,6.802297,4.990072,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([16, 10, 17]), array([ 9, 15, 19]), array([13, 14,  4,  1]), array([11]), array([ 3, 20,  6,  7]), array([18]), array([ 5,  8,  2, 12])]",53691.99207998744,2025-03-28 11:32:44.765680,2025-03-28 11:32:49.962075,2025-03-28 11:32:51.576726,6.811046,5.196395,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 6, 12, 17,  2]), array([ 7,  3,  5, 13,  1]), array([ 4, 16, 19]), array([10, 18, 20, 15,  9]), array([14,  8, 11])]",13502.576420427034,2025-03-28 11:32:51.581663,2025-03-28 11:32:55.764192,2025-03-28 11:32:58.473049,6.891386,4.182529,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 9, 13,  1,  7]), array([ 6, 15,  8, 19]), array([12,  2, 20]), array([17, 10,  5]), array([18, 11, 14]), array([16,  3]), array([4])]",12643.92820639325,2025-03-28 11:32:58.476962,2025-03-28 11:33:01.700585,2025-03-28 11:33:05.242294,6.765332,3.223623,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([11, 18]), array([9]), array([16, 20]), array([19,  2,  5]), array([ 6,  4, 13, 10,  8]), array([ 1, 15, 17]), array([ 7,  3, 14, 12])]",11265.67193810375,2025-03-28 11:33:05.246222,2025-03-28 11:33:08.459306,2025-03-28 11:33:12.077303,6.831081,3.213084,取消修复动作算子-随机初始解
AB20-ar3,模拟退火算法,5513,"[array([ 5, 20,  4, 18]), array([11, 15, 17]), array([ 8, 13, 14,  9, 19]), array([10,  7,  3]), array([12,  1]), array([16,  2,  6])]",11299.786561562636,2025-03-28 11:33:12.081389,2025-03-28 11:33:15.250875,2025-03-28 11:33:18.916900,6.835511,3.169486,取消修复动作算子-随机初始解
