实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
O9-maoyan,模拟退火算法,5513,"[array([7, 3]), array([4, 2, 9, 6, 8]), array([1, 5])]",260.56294060370016,2025-03-28 11:44:09.981078,2025-03-28 11:44:11.553475,2025-03-28 11:44:12.029232,2.048154,1.572397,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([7, 8]), array([4, 1, 6, 9, 2]), array([3, 5])]",249.49194991055458,2025-03-28 11:44:12.033332,2025-03-28 11:44:13.697359,2025-03-28 11:44:14.154426,2.121094,1.664027,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([4, 8]), array([7, 1]), array([2, 9, 6, 5, 3])]",256.2894633273703,2025-03-28 11:44:14.158018,2025-03-28 11:44:14.180477,2025-03-28 11:44:16.243414,2.085396,0.022459,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([7, 8]), array([4, 2]), array([1, 9, 6, 5, 3])]",255.22182468694098,2025-03-28 11:44:16.246994,2025-03-28 11:44:18.085645,2025-03-28 11:44:18.330834,2.08384,1.838651,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([2, 4, 7, 8]), array([5, 6, 1, 9, 3])]",254.97574750830566,2025-03-28 11:44:18.334787,2025-03-28 11:44:19.711253,2025-03-28 11:44:20.472947,2.13816,1.376466,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([3, 9, 2, 6, 5]), array([4]), array([8, 7, 1])]",252.20856571608965,2025-03-28 11:44:20.476759,2025-03-28 11:44:22.412027,2025-03-28 11:44:22.562936,2.086177,1.935268,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([8, 7]), array([1, 4]), array([5, 6, 2, 9, 3])]",249.37298747763862,2025-03-28 11:44:22.566665,2025-03-28 11:44:23.635808,2025-03-28 11:44:24.686475,2.11981,1.069143,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([8, 3, 5]), array([6, 9]), array([4, 7, 1, 2])]",253.83563567579958,2025-03-28 11:44:24.690348,2025-03-28 11:44:25.122708,2025-03-28 11:44:26.782646,2.092298,0.43236,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([7, 4, 1, 8]), array([3, 2, 9, 6, 5])]",243.53056478405318,2025-03-28 11:44:26.786423,2025-03-28 11:44:27.828127,2025-03-28 11:44:28.942471,2.156048,1.041704,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([3, 9, 1, 6, 5]), array([8, 7, 4, 2])]",254.97574750830563,2025-03-28 11:44:28.946332,2025-03-28 11:44:29.074521,2025-03-28 11:44:31.084417,2.138085,0.128189,包含修复动作算子-随机初始解
O9-maoyan,模拟退火算法,5513,"[array([1, 3, 4, 7]), array([5, 9, 6, 2, 8])]",250.21666940654285,2025-03-28 11:44:44.168996,2025-03-28 11:44:44.480132,2025-03-28 11:44:46.261854,2.092858,0.311136,包含修复动作算子-K分初始解
