实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间,备注
O9-maoyan,遗传算法,90,"[[5], [8, 2, 6, 1, 9, 7, 3], [4]]",260.5860805860806,2025-03-30 20:23:39.081241,2025-03-30 20:23:42.278187,2025-03-30 20:23:49.108761,10.02752,3.196946,None
O9-maoyan,遗传算法,90,"[[5], [8, 2, 6, 1, 9, 7, 3], [4]]",260.5860805860806,2025-03-30 20:23:49.113297,2025-03-30 20:23:49.223860,2025-03-30 20:23:59.153380,10.040083,0.110563,None
O9-maoyan,遗传算法,90,"[[5], [8, 2, 6, 1, 9, 7, 3], [4]]",260.5860805860806,2025-03-30 20:23:59.156592,2025-03-30 20:23:59.273132,2025-03-30 20:24:09.302730,10.146138,0.11654,None
O9-maoyan,遗传算法,90,"[[5], [8, 2, 6, 1, 9, 7, 3], [4]]",260.5860805860806,2025-03-30 20:26:17.261821,2025-03-30 20:26:26.397690,2025-03-30 20:26:27.560358,10.298537,9.135869,None
O9-maoyan,遗传算法,90,"[[4], [3, 7, 9, 1, 6, 2, 8], [5]]",260.5860805860806,2025-03-30 20:26:27.753486,2025-03-30 20:26:35.858582,2025-03-30 20:26:38.027493,10.274007,8.105096,None
O9-maoyan,遗传算法,90,"[[8, 5, 9, 6, 3], [2, 1, 4, 7]]",249.19727108334706,2025-03-30 20:26:38.202531,2025-03-30 20:26:47.586496,2025-03-30 20:26:48.217627,10.015096,9.383965,None
O9-maoyan,遗传算法,90,"[[8, 2, 6, 1, 9, 7, 3], [4], [5]]",307.6630036630037,2025-03-30 20:26:48.418954,2025-03-30 20:26:49.322877,2025-03-30 20:26:58.630990,10.212036,0.903923,None
O9-maoyan,遗传算法,90,"[[3, 7, 1, 6, 4], [8, 9, 2], [5]]",266.1286435862359,2025-03-30 20:26:58.829020,2025-03-30 20:27:03.872240,2025-03-30 20:27:09.139425,10.310405,5.04322,None
O9-maoyan,遗传算法,90,"[[7, 4], [8, 1, 6], [3, 9, 2], [5]]",266.73721995364747,2025-03-30 20:27:09.335169,2025-03-30 20:27:15.617848,2025-03-30 20:27:19.687247,10.352078,6.282679,None
O9-maoyan,遗传算法,90,"[[8, 7, 4, 1, 2], [3, 9, 6, 5]]",243.44518272425245,2025-03-30 20:27:19.885694,2025-03-30 20:27:25.864576,2025-03-30 20:27:30.221835,10.336141,5.978882,None
O9-maoyan,遗传算法,90,"[[4], [3, 7, 9, 6, 1, 2, 8], [5]]",261.2051282051282,2025-03-30 20:27:30.417449,2025-03-30 20:27:40.292833,2025-03-30 20:27:40.719894,10.302445,9.875384,None
O9-maoyan,遗传算法,90,"[[7, 4, 6, 9, 2], [8, 3, 1, 5]]",246.92783166200888,2025-03-30 20:27:40.919529,2025-03-30 20:27:43.526309,2025-03-30 20:27:51.248608,10.329079,2.60678,None
O9-maoyan,遗传算法,90,"[[8, 7], [4, 1, 6, 9, 3], [2, 5]]",263.8524150268337,2025-03-30 20:27:51.451591,2025-03-30 20:28:00.854692,2025-03-30 20:28:01.754975,10.303384,9.403101,None
O9-maoyan,遗传算法,90,"[[7, 8], [4, 3], [2, 1, 6, 9, 5]]",243.87298747763867,2025-03-30 20:28:01.949762,2025-03-30 20:28:12.107106,2025-03-30 20:28:12.611793,10.662031,10.157344,None
O9-maoyan,遗传算法,90,"[[4], [1, 7], [3, 6, 9, 2, 8], [5]]",263.39202086049545,2025-03-30 20:28:12.806018,2025-03-30 20:28:22.500694,2025-03-30 20:28:23.427732,10.621714,9.694676,None
O9-maoyan,遗传算法,90,"[[4], [7, 9, 6, 3], [2, 1, 8], [5]]",269.7115057375976,2025-03-30 20:28:23.648202,2025-03-30 20:28:28.684817,2025-03-30 20:28:34.060222,10.41202,5.036615,None
O9-maoyan,遗传算法,90,"[[5], [8, 7, 1, 6, 9, 2, 3], [4]]",266.6217948717949,2025-03-30 20:28:34.252028,2025-03-30 20:28:44.442611,2025-03-30 20:28:44.772859,10.520831,10.190583,None
O9-maoyan,遗传算法,90,"[[8, 7, 9, 3], [1, 6, 2], [4], [5]]",308.0784938260832,2025-03-30 20:28:44.963392,2025-03-30 20:28:51.399544,2025-03-30 20:28:55.469151,10.505759,6.436152,None
O9-maoyan,遗传算法,90,"[[8, 2, 7, 6, 4], [3, 9, 1], [5]]",256.1527062008692,2025-03-30 20:28:55.648416,2025-03-30 20:29:01.269115,2025-03-30 20:29:06.106768,10.458352,5.620699,None
O9-maoyan,遗传算法,90,"[[3, 7, 9, 1, 6, 2, 8], [4], [5]]",307.6630036630037,2025-03-30 20:29:06.311019,2025-03-30 20:29:15.936180,2025-03-30 20:29:16.659038,10.348019,9.625161,None
O9-maoyan,遗传算法,90,"[[4], [8, 7, 2, 1, 6, 9, 3], [5]]",263.52655677655673,2025-03-30 20:29:16.860315,2025-03-30 20:29:24.459598,2025-03-30 20:29:27.148564,10.288249,7.599283,None
O9-maoyan,遗传算法,90,"[[3, 2, 4, 7], [8, 9, 6, 1], [5]]",261.4091025253815,2025-03-30 20:29:27.353790,2025-03-30 20:29:34.512634,2025-03-30 20:29:38.078950,10.72516,7.158844,None
O9-maoyan,遗传算法,90,"[[3, 2], [9, 6], [5], [4], [7, 1, 8]]",269.8778280542986,2025-03-30 20:29:38.302413,2025-03-30 20:29:46.602302,2025-03-30 20:29:48.847582,10.545169,8.299889,None
O9-maoyan,遗传算法,90,"[[3, 6, 2, 4, 7], [8, 9, 1], [5]]",266.11975165737135,2025-03-30 20:29:49.041795,2025-03-30 20:29:55.763451,2025-03-30 20:29:59.487462,10.445667,6.721656,None
O9-maoyan,遗传算法,90,"[[8, 7], [4], [2, 6, 1, 9, 3], [5]]",248.1958041958042,2025-03-30 20:29:59.705521,2025-03-30 20:30:06.171576,2025-03-30 20:30:10.350868,10.645347,6.466055,None
O9-maoyan,遗传算法,90,"[[8, 2, 6, 1, 9, 7, 3], [4], [5]]",307.6630036630037,2025-03-30 20:30:10.554179,2025-03-30 20:30:11.403889,2025-03-30 20:30:21.099643,10.545464,0.84971,None
O9-maoyan,遗传算法,90,"[[8, 2, 7, 6, 4], [3, 9, 1], [5]]",256.1527062008692,2025-03-30 20:30:21.301643,2025-03-30 20:30:29.949683,2025-03-30 20:30:32.063166,10.761523,8.64804,None
